Label,Mean,StdDev,Max,Median,Mode,NumberOfVoxels,Volume
40,156.204,109.084,755,142,0,1469,60.805
42,808.819,164.788,1247,818,706,105,4.346
43,111.787,77.740,495,100,0,3087,127.777
44,242.193,79.216,593,232,199,569,23.552
46,110.926,76.781,538,100,0,176,7.285
49,101.955,60.302,325,101,0,1137,47.063
50,95.571,62.984,351,94,0,870,36.011
51,205.455,101.683,623,188,164,211,8.734
52,304.705,119.051,872,294,251,2006,83.033
53,99.255,79.884,482,87,0,2386,98.762
54,81.631,56.637,308,78,0,1298,53.727
55,87.881,55.855,320,86,0,810,33.528
56,79.510,44.823,207,78,49,304,12.583
59,18.823,35.550,245,0,0,2857,118.257
60,125.982,67.909,362,119,0,489,20.241
61,33.633,40.155,213,20,0,981,40.606
62,32.778,38.177,203,20,0,1768,73.181
63,24.500,37.303,218,0,0,1974,81.708
64,27.205,38.846,247,6,0,2690,111.345
65,28.789,39.456,228,10,0,1173,48.553
66,48.937,44.618,201,41,0,222,9.189
67,10.313,25.561,314,0,0,4966,205.553
68,14.220,28.036,259,0,0,967,40.026
69,5.490,15.973,167,0,0,2446,101.245
70,111.323,70.207,574,103,0,2684,111.096
71,14.056,27.021,158,0,0,2139,88.538
72,5.104,13.772,118,0,0,1738,71.939
73,380.613,181.724,1427,353,320,703,29.099
74,424.681,181.580,1150,403,433,1922,79.556
75,163.107,503.828,4095,0,0,863,35.721
76,6.122,17.123,126,0,0,887,36.715
77,445.378,355.758,1996,457,0,1420,58.777
78,429.628,170.074,1162,406,388,2062,85.351
79,105.420,173.069,813,7,0,705,29.181
80,132.515,80.431,559,125,0,4090,169.294
81,57.197,64.923,372,37,0,2302,95.285
82,47.937,50.738,251,34,0,2241,92.760
83,56.598,60.380,345,42,0,2043,84.564
84,34.235,53.867,443,1,0,5663,234.404
85,10.863,22.454,150,0,0,321,13.287
86,30.487,30.914,201,21,0,2468,102.156
87,37.653,46.183,269,18,0,2897,119.913
88,12.203,24.019,165,0,0,1994,82.536
89,11.910,26.080,202,0,0,3760,155.634
90,18.888,30.015,167,0,0,1305,54.017
91,6.029,17.676,188,0,0,1495,61.881
92,26.128,37.511,305,6,0,5308,219.709
93,58.718,56.472,398,47,0,7684,318.057
94,8.870,20.395,156,0,0,1532,63.413
95,20.205,30.703,224,3,0,3079,127.446
96,5.043,15.067,148,0,0,4554,188.500
97,14.765,26.571,178,0,0,3314,137.173
98,2.906,12.030,136,0,0,913,37.791
99,0.629,4.871,74,0,0,765,31.665
100,3.645,12.541,126,0,0,3945,163.292
101,10.976,22.838,191,0,0,6544,270.870
102,41.293,46.138,305,27,0,10331,427.622
103,1.386,7.196,123,0,0,8037,332.668
104,9.473,21.174,161,0,0,3218,133.200
105,39.717,47.299,328,23,0,11073,458.335
106,3.799,11.990,97,0,0,984,40.730
107,73.819,65.903,381,60,0,995,41.185
